review_id,user_id,username,review_title,review,sentiment,category,product,rating,verified_purchase,helpful_votes,review_length,purchase_date,review_date,country,language,source,device,review_type,writing_style,emotion,recommendation_score,company_response
REV000011,USR273808,olivia_anderson604,Low Quality,Very disappointed with the Wireless Earbuds. very slow performance. Avoid this product. 😤,Negative,Electronics,Wireless Earbuds,1,No,143,13,2022-07-23,2023-11-30,France,English,Amazon,Desktop,Short,casual,Anger,2,We apologize for the inconvenience.
REV000012,USR752114,jennifer_white133,Unsatisfied,The Rice had damaged packaging. One star.,Negative,Grocery,Rice,1,Yes,449,7,2023-10-13,2024-12-15,Brazil,English,Instacart,Desktop,Short,formal,Anger,2,We're sorry about your experience.
REV000013,USR622804,olivia_wilson247,Amazing Experience,I purchased this Comic Book during a sale. The print quailty made this book truly memorable. Worth every penny. 👍,Positive,Books,Comic Book,4,Yes,171,20,2021-11-09,2026-06-07,India,English,Amazon,Mobile,Medium,critical,Joy,9,Your feedback means a lot to us.
REV000014,USR274129,elizabeth_taylor108,Unsatisfied,"Overall, This was my first time using this Wireless Mouse. Unfortunately, The Wireless Mouse failed after only a short period. Completely dissatisfied. I would definitely recommend it. 👎",Negative,Laptops,Wireless Mouse,1,No,337,28,2023-02-05,2023-08-24,Australia,English,Amazon,Tablet,Long,formal,Anger,1,Thank you for bringing this to our attention.
REV000015,USR131786,emma_williams286,Loved It,"I purchased this Horror Movie during a sale. The movie exceeded my expectations with its acting. Absolutely loved it. However, there are a few minor issues.",Positive,Movies,Horror Movie,5,Yes,452,26,2026-02-17,2026-02-27,India,English,IMDb,Desktop,Medium,casual,Joy,8,Thank you for choosing us.
REV000016,USR252222,jennifer_miller589,Very Disappointed,"This was my first time using this ATM Service. Overall, I'm disappointed with this bank. Not recommended. 💔",Negative,Banking,ATM Service,2,Yes,106,18,2024-08-12,2025-05-13,India,English,Google Reviews,Mobile,Medium,enthusiastic,Anger,3,We appreciate your feedback and will improve.
REV000017,USR840275,jessica_white343,Met Expectations,"Absolutely amazing! This was my first time using this Action Movie. Overall, The story was predictable but watchable. Acceptable for the price. Overall, it was disappointing. 😐",Neutral,Movies,Action Movie,4,Yes,485,27,2025-06-14,2026-01-16,France,English,IMDb,Tablet,Long,enthusiastic,Neutral,7,Your opinion helps us improve.
REV000018,USR572021,thomas_harris361,Terrible Purchase,"Absolutely amazing! My friend recomended this Airport Lounge. After using it for a while, The flight was delayed for several hours. I would never buy this again. I would buy it again.",Negative,Airlines,Airport Lounge,1,No,247,32,2023-04-04,2025-12-28,France,English,Skytrax,Desktop,Long,enthusiastic,Anger,4,We're sorry about your experience.
REV000019,USR655980,john_garcia40,Very Disappointed,Very disappointed with the laptop because of buttons stopped responding. Not recommended.,Negative,Laptops,Wireless Mouse,2,No,87,12,2026-04-06,2026-05-31,UK,English,Lenovo Store,Mobile,Short,enthusiastic,Anger,2,Please contact our support team.
REV000020,USR664238,elizabeth_thomas661,Nothing Special,The fingerprint sensor is decent but could be improved. Overall an average experience. 😐,Neutral,Mobile Phones,Smartphone,4,No,153,14,2022-09-03,2025-12-20,Brazil,English,Apple Store,Desktop,Short,enthusiastic,Neutral,6,Thank you for sharing your experience.
REV000021,USR117227,olivia_jackson686,Highly Recommended,My friend recommended this Hoodie. I'm extremely satisfied with this purchase. Worth every penny.,Positive,Clothing,Hoodie,5,Yes,196,14,2022-11-02,2024-06-08,Germany,English,Zara,Desktop,Medium,formal,Joy,8,Thank you for your wonderful feedback!
REV000022,USR497064,susan_iqbal259,Exceeded Expectations,"I absolutely loved it! I bought this Economy Seat last month. For the price, The in-flight service exceeded my expectations. Exceeded my expectations. It offers good value for the price. ❤️",Positive,Airlines,Economy Seat,5,Yes,111,31,2024-12-21,2026-04-02,Canada,English,Skytrax,Mobile,Long,enthusiastic,Joy,9,Thank you for your wonderful feedback!
REV000023,USR866085,patricia_jones205,Five Stars,"I absolutely loved it! I ordered this Phone Charger online!! Additionally, The camera, display, and battery life make this phone an excellent choice. I would definitely buy this again. I'm happy with my purchase.",Positive,Mobile Phones,Phone Charger,5,Yes,194,34,2023-08-25,2024-08-19,Pakistan,English,Amazon,Tablet,Long,enthusiastic,Joy,8,We're delighted that you enjoyed our product.
REV000024,USR450686,james_khan406,Nothing Special,"Based on my experiance, I purchased this Medicine during a sale. Overall, The healthcare service was average. Acceptable for the price. Overall, I'm very satisfied.",Neutral,Healthcare,Medicine,4,Yes,106,25,2023-04-15,2024-08-15,UK,English,Google Reviews,Tablet,Long,formal,Neutral,7,We value your comments.
REV000025,USR370934,fatima_malik785,Decent Product,This was my first time using this Medical Service. The pricing met my expectations. Meets basic expectations.,Neutral,Healthcare,Medical Service,3,No,320,17,2022-05-21,2025-10-11,USA,English,Google Reviews,Mobile,Medium,casual,Neutral,7,We value your comments.
REV000026,USR699478,richard_brown590,Worth Every Penny,I wanted to share my experience with this Power Bank. Everything from the design to the battery life feels premium. Five stars.,Positive,Electronics,Power Bank,5,No,38,22,2022-05-25,2026-07-04,India,English,Newegg,Tablet,Medium,enthusiastic,Joy,9,We appreciate your positive review.
REV000027,USR659839,karen_white691,Five Stars,The room was spotless and the staff was excellent. I would definitely buy this again.,Positive,Hotels,Hotel Room,5,Yes,438,15,2025-06-23,2025-11-30,Canada,English,Booking.com,Tablet,Short,enthusiastic,Joy,10,Thank you for your wonderful feedback!
REV000028,USR986863,charles_ahmed408,Five Stars,Highly recommended for every gamer. Very satisfied with my purchase.,Positive,Gaming,Gaming Chair,5,Yes,466,10,2022-05-18,2024-05-12,Canada,English,Steam,Tablet,Short,enthusiastic,Joy,10,Thank you for choosing us.
REV000029,USR548166,ali_iqbal582,Very Impressed,My friend recommended this Phone Charger. Everything works smoothly and the camera quality is professional. Five stars.,Positive,Mobile Phones,Phone Charger,5,Yes,73,17,2022-12-25,2023-07-17,USA,English,Apple Store,Mobile,Medium,enthusiastic,Joy,8,Thank you for choosing us.
REV000030,USR104071,karen_wilson515,Five Stars,The Power Bank performs exceptionally well. The value for money is responsive. Very satisfied with my purchase.,Positive,Electronics,Power Bank,5,Yes,81,17,2026-02-15,2026-04-23,USA,English,Amazon,Mobile,Short,critical,Joy,9,Thank you for your wonderful feedback!
REV000031,USR574741,noah_brown85,Waste of Money,"After careful consideration, I purchased this Workshop during a sale. In my opinion, I expected much better educational content. Save your money. Overall, it met my expectations.",Negative,Education,Workshop,2,Yes,440,27,2023-10-07,2024-09-17,Canada,English,Udemy,Mobile,Long,formal,Anger,4,We appreciate your feedback and will improve.
REV000032,USR112954,ahmed_davis407,Exceeded Expectations,"In my opinion, I've been using this Gaming Chair for my family. Additionally, The game is addictive in the best possible way. I would recommend it to everyone. Overall, it was disappointing.",Positive,Gaming,Gaming Chair,4,Yes,129,32,2026-07-09,2026-07-16,Japan,English,Metacritic,Mobile,Long,formal,Joy,10,Your feedback means a lot to us.
REV000033,USR502399,robert_khan953,Exceeded Expectations,"To my disappointment, I decided to try this Certification. Without a doubt, Overall, this was one of the best educational experiences I've had. Five stars. I don't think I'll purchase it again.",Positive,Education,Certification,5,Yes,273,32,2025-09-17,2026-01-25,Brazil,English,Google Reviews,Tablet,Long,critical,Joy,9,Your feedback means a lot to us.
REV000034,USR617475,joseph_jackson260,It's Okay,"Couldn't be happier! This was my first time using this Horror Movie. Fortunately, The acting was acceptable. Neither good nor bad. Overall, it met my expectations.",Neutral,Movies,Horror Movie,3,Yes,325,26,2026-01-08,2026-07-04,UK,English,IMDb,Desktop,Long,enthusiastic,Neutral,7,We appreciate your review.
REV000035,USR153497,ali_taylor894,Poor Experience,I ordered this Photo Editor online. The software suffers from payment process failed. Save your money.,Negative,Software,Photo Editor,2,No,140,16,2023-09-23,2025-03-20,India,English,Capterra,Mobile,Medium,casual,Anger,1,Thank you for bringing this to our attention.
REV000036,USR556912,charles_thomas528,It's Okay,I've been using this Hospital Visit every day. The treatment was satisfactory. Overall an average experiance.,Neutral,Healthcare,Hospital Visit,4,No,151,16,2024-08-03,2026-07-05,Brazil,English,Google Reviews,Tablet,Medium,casual,Neutral,7,We value your comments.
REV000037,USR743245,fatima_thomas780,Mixed Feelings,Everything was fairly standard. Neither good nor bad.,Neutral,Grocery,Rice,4,Yes,180,8,2023-05-01,2025-06-14,France,English,Amazon Fresh,Desktop,Short,formal,Neutral,6,We value your comments.
REV000038,USR970834,robert_smith514,Unsatisfied,"I purchased this Flight during a sale. Very disappointing travel experiance. One star. Still, it has a few good points.",Negative,Airlines,Flight,2,No,322,20,2025-02-07,2025-02-23,France,English,Skytrax,Tablet,Medium,critical,Anger,4,We're sorry about your experience.
REV000039,USR664644,michael_brown426,Not Worth It,I decided to try this Documentary. I expected a much better film. Save your money. 💔,Negative,Movies,Documentary,2,Yes,201,16,2022-01-13,2025-03-01,Australia,English,IMDb,Mobile,Medium,casual,Anger,4,Thank you for bringing this to our attention.
REV000040,USR804929,sophia_iqbal712,Poor Experience,This was my first time using this Bluetooth Speaker. Very disappointed with the Bluetooth Speaker. heats up quickly. Completely dissatisfied. 😞,Negative,Electronics,Bluetooth Speaker,1,Yes,346,21,2026-05-16,2026-07-15,Germany,English,Newegg,Mobile,Medium,formal,Anger,2,We appreciate your feedback and will improve.
REV000041,USR122687,emma_jones15,Loved It,"Well, My friend recommended this Documentary. Without a doubt, Definitely one of the best movies I've watched recently. Excellent choice. I don't think I'll purchase it again.",Positive,Movies,Documentary,4,No,13,27,2024-08-24,2026-05-31,UK,English,IMDb,Tablet,Long,casual,Joy,8,We're delighted that you enjoyed our product.
REV000042,USR765111,susan_smith961,Amazing Experience,I decided to try this Business Laptop. The performance makes working on this laptop enjoyable. Highly recommended. 👍,Positive,Laptops,Business Laptop,5,Yes,365,18,2025-03-24,2026-04-09,Canada,English,Lenovo Store,Tablet,Medium,enthusiastic,Joy,9,We appreciate your positive review.
REV000043,USR232157,barbara_taylor388,Poor Experience,"Honestly, I purchased this Online Course during a sale. For the price, Very disappointed with the quailty of this course. Waste of money. I'm happy with my purchase.",Negative,Education,Online Course,1,Yes,476,28,2022-04-13,2023-06-26,UK,English,Google Reviews,Tablet,Long,casual,Anger,4,We appreciate your feedback and will improve.
REV000044,USR931319,william_sheikh544,Reasonable Purchase,"Not impressed. I purchased this Sneakers during a sale. Unfortunately, Nothing particularly impressive about this product. Could be better. I'm happy with my purchase.",Neutral,Clothing,Sneakers,3,Yes,55,24,2022-03-26,2022-09-14,Germany,English,H&M,Tablet,Long,critical,Neutral,5,Your opinion helps us improve.
REV000045,USR302791,charles_davis887,Amazing Experience,"Fantastic! I bought this Phone Case last month. Additionally, Very happy with this purchase because the face unlock is excellent. Excellent choice. Overall, I'm very satisfied. However, there are a few minor issues.",Positive,Mobile Phones,Phone Case,5,No,65,33,2024-10-20,2026-02-03,Germany,English,Apple Store,Tablet,Long,enthusiastic,Joy,10,Thank you for your wonderful feedback!
REV000046,USR885349,jennifer_khan579,Terrible Purchase,The phone became unusable because of screen cracked easily. Very disappointed. 👎,Negative,Mobile Phones,Smartphone,2,No,82,12,2021-08-30,2022-07-03,UK,English,Amazon,Desktop,Short,enthusiastic,Anger,3,We appreciate your feedback and will improve.
REV000047,USR645431,emma_davis635,Fair Experience,I recently bought this Power Bank. The portability is acceptable for daily use. It gets the job done.,Neutral,Electronics,Power Bank,2,Yes,374,18,2023-12-10,2025-01-19,Australia,English,Amazon,Desktop,Medium,casual,Neutral,5,We appreciate your review.
REV000048,USR832505,fatima_thomas630,Loved It,"I ordered this Gaming Headset online!! I've spent many hours playing this game and loved every minute. Absolutely loved it. However, there are a few minor issues.",Positive,Gaming,Gaming Headset,5,Yes,500,27,2024-02-15,2025-10-17,Germany,English,Metacritic,Mobile,Medium,critical,Joy,9,We're delighted that you enjoyed our product.
REV000049,USR424930,sophia_harris636,Exceeded Expectations,The overall travel experiance was enjoyable. One of the best purchases I've made.,Positive,Airlines,Baggage Service,5,Yes,241,13,2022-11-10,2026-01-25,Japan,English,TripAdvisor,Tablet,Short,formal,Joy,10,Thank you for your wonderful feedback!
REV000050,USR677691,richard_khan70,Waste of Money,"Based on my experiance, I purchased this Breakfast during a sale. Additionally, I wouldn't stay here again. Avoid this product. I don't think I'll purchase it again.",Negative,Hotels,Breakfast,2,No,25,27,2022-06-28,2026-04-16,USA,English,Hotels.com,Mobile,Long,formal,Anger,2,Thank you for bringing this to our attention.
REV000051,USR968941,jennifer_smith160,Very Impressed,The medical staff provided excellent care. Excellent choice.,Positive,Healthcare,Dental Service,5,No,322,8,2025-10-25,2025-11-13,Australia,English,Google Reviews,Tablet,Short,enthusiastic,Joy,10,We appreciate your positive review.
REV000052,USR162102,noah_taylor61,Average Experience,"Based on my experience, I recently bought this University Course. After using it for a while, The learning experience was acceptable. Overall an average experience. Overall, I'm very satisfied.",Neutral,Education,University Course,4,No,200,29,2022-01-23,2024-10-05,Germany,English,Udemy,Tablet,Long,formal,Neutral,5,Thank you for sharing your experience.
REV000053,USR806262,robert_malik320,Loved It,The mobile app is smooth and easy to use. Exceeded my expectations.,Positive,Banking,Loan Service,4,No,125,12,2022-02-26,2022-11-02,Canada,English,Google Reviews,Mobile,Short,casual,Joy,9,Thank you for your wonderful feedback!
REV000054,USR896556,sarah_iqbal619,Wouldn't Recommend,"After reading many reviews, I purchased this Web Application. The software failed to meet my expectations. I regret buying this.",Negative,Software,Web Application,1,No,483,20,2023-03-11,2026-02-11,Pakistan,English,Product Hunt,Tablet,Medium,casual,Anger,1,We apologize for the inconvenience.
REV000055,USR280877,hassan_harris94,Expected Better,"Fantastic! I ordered this Wireless Earbuds online. On top of that, The connectivity is expensive and not worth the price. Completely dissatisfied. It offers good value for the price. 😕",Negative,Electronics,Wireless Earbuds,1,Yes,188,30,2022-04-14,2022-12-15,Canada,English,Newegg,Desktop,Long,enthusiastic,Anger,2,We appreciate your feedback and will improve.
REV000056,USR798460,olivia_malik986,Excellent Product,I've been using this Gaming Chair since last week. Fantastic gameplay with excelent performance. One of the best purchases I've made.,Positive,Gaming,Gaming Chair,5,Yes,39,21,2025-07-23,2026-03-18,Canada,English,Steam,Tablet,Medium,casual,Joy,8,Thank you for choosing us.
REV000057,USR983032,william_wilson644,Five Stars,The developers did an excellent job with the controls. Excellent choice.,Positive,Gaming,Controller,5,Yes,130,11,2021-10-28,2023-06-14,Canada,English,Metacritic,Desktop,Short,casual,Joy,8,We appreciate your positive review.
REV000058,USR430797,ayesha_garcia542,Highly Recommended,"Couldn't be happier! I recently bought this Milk. After using it for a while, The Milk was fresh and the variety was excellent. Excellent choice. Overall, it met my expectations.",Positive,Grocery,Milk,5,Yes,379,30,2024-01-14,2026-05-31,France,English,Instacart,Desktop,Long,enthusiastic,Joy,8,Thank you for choosing us.
REV000059,USR283004,michael_johnson621,Fantastic Purchase,I purchased this Dental Service during a sale. The staff explained everything clearly. Absolutely loved it.,Positive,Healthcare,Dental Service,5,No,416,16,2025-12-01,2026-05-15,Australia,English,Google Reviews,Tablet,Medium,casual,Joy,9,We're delighted that you enjoyed our product.
REV000060,USR402148,john_khan139,Decent Product,The overall banking experiance is average. It gets the job done.,Neutral,Banking,Loan Service,4,Yes,95,11,2026-03-14,2026-05-13,France,English,Google Reviews,Tablet,Short,critical,Neutral,7,Thank you for your feedback.
REV000061,USR901170,ali_williams610,Mixed Feelings,The check-in process met basic expectations. Works as expected.,Neutral,Hotels,Hotel Room,4,Yes,456,9,2023-04-10,2025-08-11,Australia,English,Booking.com,Mobile,Short,formal,Neutral,5,We appreciate your review.
REV000062,USR651448,james_smith827,Mixed Feelings,I purchased this Health Checkup during a sale. The treatment was satisfactory. Meets basic expectations. 😐,Neutral,Healthcare,Health Checkup,2,No,417,16,2025-09-05,2025-12-27,India,English,Healthgrades,Mobile,Medium,critical,Neutral,6,Thank you for sharing your experience.
REV000063,USR624539,fatima_williams683,Low Quality,"Couldn't be happier! I purchased this Mobile App during a sale. Overall, Installation was frustrating because of instructions were unclear. Very disappointed. I would buy it again.",Negative,Software,Mobile App,2,Yes,380,27,2025-11-10,2026-04-29,France,English,Capterra,Desktop,Long,enthusiastic,Anger,4,Thank you for bringing this to our attention.
REV000064,USR169228,charles_ahmed476,Nothing Special,"Seriously, I've been using this Video Game for a few days. In my opinion, The game is average. Works as expected. Overall, I'm very satisfied.",Neutral,Gaming,Video Game,3,Yes,277,25,2023-10-31,2024-12-10,Brazil,English,Steam,Mobile,Long,casual,Neutral,6,Thank you for your feedback.
REV000065,USR871772,sophia_white854,Worth Every Penny,"Fantastic! I decided to try this Dental Service!! On top of that, Overall, I had a very positive healthcare experience. Very satisfied with my purchase. Overall, it met my expectations.",Positive,Healthcare,Dental Service,5,No,232,30,2025-08-03,2025-08-17,Germany,English,Healthgrades,Mobile,Long,enthusiastic,Joy,10,Thank you for your wonderful feedback!
REV000066,USR426253,william_khan872,Highly Recommended,The Business Laptop handles heavy workloads effortlessly. Absolutely loved it. 👍,Positive,Laptops,Business Laptop,5,Yes,196,11,2021-11-17,2023-11-17,USA,English,Dell Store,Mobile,Short,critical,Joy,10,We appreciate your positive review.
REV000067,USR447241,liam_jackson815,Amazing Experience,The seats were comfortable and the service was excellent. Absolutely loved it.,Positive,Airlines,Business Class,4,Yes,181,12,2026-01-02,2026-05-22,USA,English,Skytrax,Tablet,Short,formal,Joy,10,Thank you for choosing us.
REV000068,USR767718,patricia_white728,Not Worth It,"Honestly, I bought this Mobile Banking last month. Additionally, The mobile app crashes frequently. I would never buy this again. It wasn't worth the money. 😕",Negative,Banking,Mobile Banking,2,No,331,26,2025-03-17,2025-09-28,UK,English,Trustpilot,Desktop,Long,casual,Anger,3,We're sorry about your experience.
REV000069,USR542445,elizabeth_iqbal625,Worth Every Penny,"I gotta say, I purchased this Desktop Software during a sale. However, This software has improved my productivity significantly. Exceeded my expectations. Overall, I'm very satisfied.",Positive,Software,Desktop Software,4,No,59,26,2023-08-05,2024-03-17,Brazil,English,G2,Tablet,Long,casual,Joy,8,We appreciate your positive review.
REV000070,USR953557,patricia_jones948,Decent Product,"Overall, I've been using this Jacket for work. On top of that, The design is simple and practical. Could be better. I don't think I'll purchase it again.",Neutral,Clothing,Jacket,3,No,92,28,2024-04-27,2024-05-15,France,English,H&M,Tablet,Long,formal,Neutral,7,Thank you for sharing your experience.
REV000071,USR471189,hassan_iqbal442,Great Quality,A fantastic read with excellent characters. Highly recommended.,Positive,Books,Biography,4,No,285,8,2022-04-21,2024-10-22,Germany,English,Amazon,Mobile,Short,formal,Joy,9,We appreciate your positive review.
REV000072,USR164502,patricia_brown963,Excellent Product,The restaurant served one of the best Coffee I've ever had. Five stars.,Positive,Restaurants,Coffee,5,No,171,13,2022-05-05,2025-06-28,Pakistan,English,TripAdvisor,Tablet,Short,enthusiastic,Joy,8,We appreciate your positive review.
REV000073,USR321327,patricia_miller907,Five Stars,The staff explained everything clearly. Exceeded my expectations.,Positive,Healthcare,Dental Service,5,Yes,318,8,2022-07-21,2026-07-11,UK,English,Healthgrades,Mobile,Short,formal,Joy,8,We're delighted that you enjoyed our product.
REV000074,USR209356,sophia_miller989,Worth Every Penny,"Honestly, I decided to try this Business Class. On top of that, Excellent airline with outstanding customer service. Worth every penny. I would buy it again.",Positive,Airlines,Business Class,4,No,346,26,2025-07-11,2025-10-17,India,English,TripAdvisor,Mobile,Long,casual,Joy,9,Thank you for choosing us.
REV000075,USR129506,joseph_white430,Reasonable Purchase,The overall banking experiance is average. Works as expected.,Neutral,Banking,Loan Service,3,No,284,9,2025-07-16,2025-09-08,UK,English,Trustpilot,Mobile,Short,critical,Neutral,5,Thank you for sharing your experience.
REV000076,USR202409,thomas_johnson796,Low Quality,"Fantastic! I recently bought this Jacket. Unfortunately, The clothing item had WiFi was unreliable. Waste of money. I don't think I'll purchase it again.",Negative,Clothing,Jacket,2,No,85,24,2024-04-25,2026-05-19,UK,English,H&M,Mobile,Long,enthusiastic,Anger,3,We apologize for the inconvenience.
REV000077,USR257087,james_wilson89,Nothing Special,The performance is satisfactory. It's okay.,Neutral,Gaming,Gaming Console,3,Yes,278,6,2022-06-26,2025-01-22,India,English,Metacritic,Desktop,Short,critical,Neutral,5,We appreciate your review.
REV000078,USR269940,fatima_white238,Highly Recommended,This Smart Watch exceeded my expectations because of its performance. Exceeded my expectations. 😍,Positive,Electronics,Smart Watch,5,Yes,226,14,2023-08-02,2024-06-18,Brazil,English,Best Buy,Desktop,Short,enthusiastic,Joy,10,Your feedback means a lot to us.
REV000079,USR312506,ahmed_harris650,One Star,Very poor dining experience because of the cleanliness. Very disappointed. 💔,Negative,Restaurants,Sandwich,1,No,465,11,2021-10-24,2025-06-27,Pakistan,English,Google Reviews,Desktop,Short,critical,Anger,2,We appreciate your feedback and will improve.
REV000080,USR746369,mary_taylor856,Exceeded Expectations,"Well, I've been using this Online Course every day. Without a doubt, The assignments improved my understanding. Worth every penny. Overall, it was disappointing.",Positive,Education,Online Course,5,Yes,325,24,2022-08-09,2024-01-15,Australia,English,Coursera,Mobile,Long,casual,Joy,9,We're delighted that you enjoyed our product.
REV000081,USR224518,john_jones372,Exceeded Expectations,The speaker quality of this Bluetooth Speaker is amazing. Excellent choice. 😊,Positive,Electronics,Bluetooth Speaker,5,Yes,93,12,2023-10-25,2025-03-30,India,English,Amazon,Mobile,Short,formal,Joy,9,Thank you for your wonderful feedback!
REV000082,USR702417,noah_ahmed803,Very Disappointed,The bank has instructions were unclear. Worst purchase ever. 😞,Negative,Banking,Loan Service,1,No,381,10,2021-11-30,2022-09-01,USA,English,Trustpilot,Desktop,Short,enthusiastic,Anger,3,Thank you for bringing this to our attention.
REV000083,USR361312,ayesha_iqbal102,Worth Every Penny,I've been using this Rice for two weeks. The packaging and availability were impressive. Five stars.,Positive,Grocery,Rice,5,No,66,16,2022-09-22,2024-11-14,Germany,English,Amazon Fresh,Tablet,Medium,formal,Joy,8,We're delighted that you enjoyed our product.
REV000084,USR675076,richard_johnson247,Fantastic Purchase,I recently bought this Hotel Room. The room size was spacious and made our stay enjoyable. Absolutely loved it.,Positive,Hotels,Hotel Room,5,No,257,19,2025-10-17,2026-07-15,France,English,Booking.com,Tablet,Medium,critical,Joy,8,We're delighted that you enjoyed our product.
REV000085,USR977124,liam_smith627,Reasonable Purchase,"To be honest, I wanted to share my experience with this Reception Service. Fortunately, The room was acceptable for the price. Could be better. I would buy it again.",Neutral,Hotels,Reception Service,3,No,359,29,2022-09-27,2022-12-31,UK,English,Hotels.com,Desktop,Long,casual,Neutral,6,We value your comments.
REV000086,USR889375,barbara_miller653,Very Impressed,"From my perspective, I've been using this Health Checkup for over a month. For the price, The staff explained everything clearly. Highly recommended. I'm happy with my purchase.",Positive,Healthcare,Health Checkup,5,Yes,33,28,2025-06-15,2025-12-25,Pakistan,English,Google Reviews,Desktop,Long,formal,Joy,9,Thank you for your wonderful feedback!
REV000087,USR259420,barbara_anderson389,Excellent Product,"Well, My friend recommended this Ultrabook. Unfortunately, The Ultrabook is fast, reliable, and the portability exceeded my expectations. Absolutely loved it. It offers good value for the price.",Positive,Laptops,Ultrabook,5,No,255,28,2025-10-21,2026-01-01,Germany,English,Amazon,Tablet,Long,casual,Joy,8,We appreciate your positive review.
REV000088,USR504029,liam_garcia236,Fair Experience,The Tablet is decent and the camera meets basic expectations. Works as expected. 🤔,Neutral,Electronics,Tablet,3,No,241,14,2025-01-24,2025-07-31,Japan,English,Best Buy,Tablet,Short,formal,Neutral,5,We appreciate your review.
REV000089,USR183952,sarah_khan26,Fair Experience,I've been using this T-Shirt during my daily commute. It met my basic expectations. Meets basic expectations.,Neutral,Clothing,T-Shirt,4,No,431,17,2024-08-07,2024-09-23,Canada,English,Amazon,Mobile,Medium,formal,Neutral,6,We appreciate your review.
REV000090,USR205586,sophia_wilson723,Worth Every Penny,I purchased this Comic Book during a sale. This is one of the best books I've read this year. One of the best purchases I've made. 👍,Positive,Books,Comic Book,5,Yes,381,27,2023-11-22,2024-07-06,Brazil,English,Amazon,Desktop,Medium,formal,Joy,10,Thank you for your wonderful feedback!
REV000091,USR456321,ayesha_white681,Average Experience,I decided to try this WiFi. The breakfast met basic expectations. Meets basic expectations. 😐,Neutral,Hotels,WiFi,3,Yes,220,15,2023-08-28,2026-07-08,Canada,English,Hotels.com,Tablet,Medium,casual,Neutral,7,Thank you for sharing your experience.
REV000092,USR290255,barbara_wilson818,Average Quality,"In my opinion, This was my first time using this Tablet. For the price, The Tablet is decent and the speaker quailty meets basic expectations. Works as expected. I hope future versions improve. 🙂",Neutral,Electronics,Tablet,2,No,456,34,2021-09-06,2022-07-28,UK,English,Newegg,Desktop,Long,formal,Neutral,7,Your opinion helps us improve.
